STATION_NAME,YEAR,ANN_MAX_PRCP_MM,MONSOON_MAX_PRCP_MM,ANN_TOTAL_PRCP_MM,WET_DAYS,LATITUDE,LONGITUDE,ELEVATION
Dhankuta,2004,113.0,113.0,1984.6,94,26.983,87.35,1180
Dhankuta,2005,111.9,111.9,2255.8,115,26.983,87.35,1180
Dhankuta,2006,90.6,90.6,1475.7,92,26.983,87.35,1180
Dhankuta,2007,121.9,121.9,1803.3999999999999,96,26.983,87.35,1180
Dhankuta,2008,105.8,105.8,1608.7,108,26.983,87.35,1180
Dhankuta,2009,125.0,125.0,2131.8,107,26.983,87.35,1180
Dhankuta,2010,113.5,113.5,1929.1,106,26.983,87.35,1180
Dhankuta,2011,95.5,95.5,1513.8,89,26.983,87.35,1180
Dhankuta,2012,98.7,98.7,1679.9,103,26.983,87.35,1180
Dhankuta,2013,106.0,106.0,1561.8,94,26.983,87.35,1180
Dhankuta,2014,85.9,85.9,1700.8,102,26.983,87.35,1180
Dhankuta,2015,79.0,79.0,1438.0,93,26.983,87.35,1180
Dhankuta,2016,61.4,61.4,1416.8,100,26.983,87.35,1180
Dhankuta,2017,48.3,48.3,1101.5,93,26.983,87.35,1180
Dhankuta,2018,234.7,234.7,1511.1,89,26.983,87.35,1180
Dhankuta,2019,127.0,87.6,1555.1,104,26.983,87.35,1180
Dhankuta,2020,289.7,289.7,1658.7,98,26.983,87.35,1180
Dhankuta,2021,93.2,93.2,1790.3,110,26.983,87.35,1180
Dhankuta,2022,138.2,138.2,2029.6,102,26.983,87.35,1180
Dhankuta,2023,98.9,98.9,1939.7,99,26.983,87.35,1180
Jumla,1990,32.2,32.2,754.6,86,29.283,82.167,2300
Jumla,1991,58.4,58.4,1112.5,101,29.283,82.167,2300
Jumla,1992,47.7,47.7,849.5,88,29.283,82.167,2300
Jumla,1993,30.7,30.7,970.0,97,29.283,82.167,2300
Jumla,1994,52.8,52.8,867.3,83,29.283,82.167,2300
Jumla,1995,65.2,65.2,832.5,95,29.283,82.167,2300
Jumla,1996,41.5,41.5,755.0,86,29.283,82.167,2300
Jumla,1997,26.6,26.6,738.0,106,29.283,82.167,2300
Jumla,1998,134.5,134.5,1076.0,82,29.283,82.167,2300
Jumla,1999,57.3,35.1,794.4,79,29.283,82.167,2300
Jumla,2000,59.1,59.1,1134.5,103,29.283,82.167,2300
Jumla,2001,94.5,31.2,940.6,92,29.283,82.167,2300
Jumla,2002,68.9,68.9,1169.9,100,29.283,82.167,2300
Jumla,2003,52.6,52.6,773.8,91,29.283,82.167,2300
Jumla,2004,87.1,87.1,1004.4,90,29.283,82.167,2300
Jumla,2005,54.8,54.8,1000.5,97,29.283,82.167,2300
Jumla,2006,78.8,78.8,957.5,88,29.283,82.167,2300
Jumla,2007,40.8,40.8,855.6999999999999,90,29.283,82.167,2300
Jumla,2008,42.5,42.5,680.9,91,29.283,82.167,2300
Jumla,2009,52.2,52.2,1021.7,91,29.283,82.167,2300
Jumla,2010,32.1,32.1,694.2,87,29.283,82.167,2300
Jumla,2011,45.2,45.2,794.7,84,29.283,82.167,2300
Jumla,2012,65.5,65.5,918.3,86,29.283,82.167,2300
Jumla,2013,52.8,52.8,789.7,89,29.283,82.167,2300
Jumla,2014,57.9,57.9,903.1999999999999,91,29.283,82.167,2300
Jumla,2015,48.9,48.9,987.5,100,29.283,82.167,2300
Jumla,2016,46.3,46.3,852.8,95,29.283,82.167,2300
Jumla,2017,31.4,31.4,591.5,86,29.283,82.167,2300
Jumla,2018,45.2,45.2,615.0,80,29.283,82.167,2300
Jumla,2019,45.9,45.9,864.3,82,29.283,82.167,2300
Jumla,2020,85.9,85.9,822.2,86,29.283,82.167,2300
Jumla,2021,62.9,62.9,1022.6,96,29.283,82.167,2300
Jumla,2022,53.1,53.1,892.9,94,29.283,82.167,2300
Jumla,2023,35.9,35.9,932.1,91,29.283,82.167,2300
Kathmandu,1990,116.8,116.8,1543.4,100,27.697,85.359,1337
Kathmandu,1991,86.9,86.9,1651.5,97,27.697,85.359,1337
Kathmandu,1992,89.3,89.3,1289.0,97,27.697,85.359,1337
Kathmandu,1993,53.8,53.8,1163.6,95,27.697,85.359,1337
Kathmandu,1994,83.3,83.3,1224.5,86,27.697,85.359,1337
Kathmandu,1995,83.3,83.3,1609.0,97,27.697,85.359,1337
Kathmandu,1996,112.2,111.8,1775.6,103,27.697,85.359,1337
Kathmandu,1997,101.7,101.7,1525.9,110,27.697,85.359,1337
Kathmandu,1998,102.8,102.8,1709.8,111,27.697,85.359,1337
Kathmandu,1999,117.5,117.5,1699.8,93,27.697,85.359,1337
Kathmandu,2000,81.5,81.5,1496.6,121,27.697,85.359,1337
Kathmandu,2001,82.0,82.0,1958.0,107,27.697,85.359,1337
Kathmandu,2002,68.3,68.3,1228.3,95,27.697,85.359,1337
Kathmandu,2003,138.1,138.1,1675.1,92,27.697,85.359,1337
Kathmandu,2004,49.4,49.4,1056.3,93,27.697,85.359,1337
Kathmandu,2005,82.6,82.6,1471.3,90,27.697,85.359,1337
Kathmandu,2006,98.8,98.8,1442.9,108,27.697,85.359,1337
Kathmandu,2007,84.1,84.1,1403.5,92,27.697,85.359,1337
Kathmandu,2008,171.3,171.3,2306.3,106,27.697,85.359,1337
Kathmandu,2009,90.0,90.0,1230.0,90,27.697,85.359,1337
Kathmandu,2010,126.9,126.9,1367.3,83,27.697,85.359,1337
Kathmandu,2011,158.1,158.1,1775.6,101,27.697,85.359,1337
Kathmandu,2012,85.7,85.7,1898.8,106,27.697,85.359,1337
Kathmandu,2013,71.7,71.7,1518.9,93,27.697,85.359,1337
Kathmandu,2014,98.6,98.6,1477.6,102,27.697,85.359,1337
Kathmandu,2015,64.5,64.5,1261.8999999999999,87,27.697,85.359,1337
Kathmandu,2016,82.6,82.6,1234.1,93,27.697,85.359,1337
Kathmandu,2017,89.0,89.0,1130.3,77,27.697,85.359,1337
Kathmandu,2018,59.0,59.0,1213.6,104,27.697,85.359,1337
Kathmandu,2019,188.0,188.0,1503.3,95,27.697,85.359,1337
Kathmandu,2020,60.8,60.8,1442.7,106,27.697,85.359,1337
Kathmandu,2021,98.2,98.2,1331.8,102,27.697,85.359,1337
Kathmandu,2022,86.0,86.0,1128.5,90,27.697,85.359,1337
Kathmandu,2023,58.1,58.1,1024.9,96,27.697,85.359,1337
Okhaldhunga,1990,147.4,147.4,1718.9,101,27.3,86.5,1720
Okhaldhunga,1991,224.4,224.4,1524.1,100,27.3,86.5,1720
Okhaldhunga,1992,81.6,81.6,1705.4,102,27.3,86.5,1720
Okhaldhunga,1993,80.1,80.1,1532.7,94,27.3,86.5,1720
Okhaldhunga,1994,98.3,98.3,2085.9,105,27.3,86.5,1720
Okhaldhunga,1995,63.1,63.1,1797.2,99,27.3,86.5,1720
Okhaldhunga,1996,229.7,229.7,2054.7,106,27.3,86.5,1720
Okhaldhunga,1997,120.5,120.5,1689.9,100,27.3,86.5,1720
Okhaldhunga,1998,111.2,111.2,1446.1,97,27.3,86.5,1720
Okhaldhunga,1999,90.5,90.5,1290.0,99,27.3,86.5,1720
Okhaldhunga,2000,174.8,112.7,2064.5,91,27.3,86.5,1720
Okhaldhunga,2001,80.5,80.5,1907.0,111,27.3,86.5,1720
Okhaldhunga,2002,96.3,96.3,1767.0,105,27.3,86.5,1720
Okhaldhunga,2003,69.4,69.4,1845.3,111,27.3,86.5,1720
Okhaldhunga,2004,144.4,144.4,1780.2,98,27.3,86.5,1720
Okhaldhunga,2005,83.2,83.2,889.4,79,27.3,86.5,1720
Okhaldhunga,2006,69.7,69.7,1350.2,89,27.3,86.5,1720
Okhaldhunga,2007,82.7,82.7,1672.9,99,27.3,86.5,1720
Okhaldhunga,2008,89.1,89.1,1442.1,100,27.3,86.5,1720
Okhaldhunga,2009,69.7,69.7,1569.4,112,27.3,86.5,1720
Okhaldhunga,2010,70.3,70.3,1432.8,92,27.3,86.5,1720
Okhaldhunga,2011,110.2,110.2,1608.4,106,27.3,86.5,1720
Okhaldhunga,2012,73.6,73.6,1772.0,110,27.3,86.5,1720
Okhaldhunga,2013,116.6,116.6,1738.1,83,27.3,86.5,1720
Okhaldhunga,2014,102.3,102.3,1433.6,99,27.3,86.5,1720
Okhaldhunga,2015,64.9,64.9,1366.0,92,27.3,86.5,1720
Okhaldhunga,2016,79.6,79.6,1350.1,98,27.3,86.5,1720
Okhaldhunga,2017,67.7,67.7,1354.9,93,27.3,86.5,1720
Okhaldhunga,2018,41.1,41.1,952.0,89,27.3,86.5,1720
Okhaldhunga,2019,86.4,86.4,1714.3,110,27.3,86.5,1720
Okhaldhunga,2020,113.3,113.3,2198.8,118,27.3,86.5,1720
Okhaldhunga,2021,103.2,103.2,1855.0,113,27.3,86.5,1720
Okhaldhunga,2022,115.2,115.2,1569.4,85,27.3,86.5,1720
Okhaldhunga,2023,105.5,105.5,2180.1,110,27.3,86.5,1720
Pokhara,1990,326.2,326.2,5660.8,107,28.2,83.981,827
Pokhara,1991,138.4,138.4,3856.5,111,28.2,83.981,827
Pokhara,1992,189.4,189.4,3507.4,100,28.2,83.981,827
Pokhara,1993,207.3,207.3,3375.0,106,28.2,83.981,827
Pokhara,1994,350.0,350.0,4419.2,96,28.2,83.981,827
Pokhara,1995,173.8,173.8,3835.6,115,28.2,83.981,827
Pokhara,1996,183.1,183.1,2721.2,97,28.2,83.981,827
Pokhara,1997,190.7,190.7,3075.7,93,28.2,83.981,827
Pokhara,1998,350.0,350.0,4817.9,101,28.2,83.981,827
Pokhara,1999,215.9,215.9,3148.9,106,28.2,83.981,827
Pokhara,2000,307.8,307.8,3267.0,81,28.2,83.981,827
Pokhara,2001,256.2,256.2,3423.8,96,28.2,83.981,827
Pokhara,2002,309.7,309.7,3513.8,97,28.2,83.981,827
Pokhara,2003,256.9,256.9,4319.2,103,28.2,83.981,827
Pokhara,2004,191.7,191.7,4002.1,94,28.2,83.981,827
Pokhara,2005,214.5,214.5,4946.3,103,28.2,83.981,827
Pokhara,2006,293.1,293.1,3927.4,103,28.2,83.981,827
Pokhara,2007,240.5,240.5,3629.0,107,28.2,83.981,827
Pokhara,2008,315.0,315.0,4891.7,113,28.2,83.981,827
Pokhara,2009,247.1,247.1,3751.0,98,28.2,83.981,827
Pokhara,2010,197.6,197.6,3759.0,115,28.2,83.981,827
Pokhara,2011,237.9,237.9,3907.2,104,28.2,83.981,827
Pokhara,2012,280.3,280.3,4699.6,110,28.2,83.981,827
Pokhara,2013,194.1,194.1,4506.2,129,28.2,83.981,827
Pokhara,2014,303.3,303.3,4665.4,107,28.2,83.981,827
Pokhara,2015,219.7,219.7,3578.0,111,28.2,83.981,827
Pokhara,2016,350.0,350.0,6424.9,121,28.2,83.981,827
Pokhara,2017,350.0,350.0,3651.7,100,28.2,83.981,827
Pokhara,2018,265.5,265.5,4248.1,101,28.2,83.981,827
Pokhara,2019,154.2,154.2,4481.0,128,28.2,83.981,827
Pokhara,2020,334.6,334.6,4869.5,115,28.2,83.981,827
Pokhara,2021,350.0,350.0,3949.2,100,28.2,83.981,827
Pokhara,2022,243.9,243.9,3966.0,106,28.2,83.981,827
Pokhara,2023,190.9,190.9,4183.4,107,28.2,83.981,827
Simara,1990,103.7,103.7,1777.3,95,27.16,84.98,90
Simara,1991,113.1,113.1,1349.4,86,27.16,84.98,90
Simara,1992,150.9,150.9,2125.8,96,27.16,84.98,90
Simara,1993,150.9,150.9,1921.7,101,27.16,84.98,90
Simara,1994,119.7,119.7,1411.8,101,27.16,84.98,90
Simara,1995,89.7,89.7,1811.8,103,27.16,84.98,90
Simara,1996,117.3,117.3,1909.1,102,27.16,84.98,90
Simara,1997,190.4,190.4,1649.8,100,27.16,84.98,90
Simara,1998,257.1,257.1,2136.3,103,27.16,84.98,90
Simara,1999,81.4,81.4,1538.1,95,27.16,84.98,90
Simara,2000,62.7,62.7,1311.8,85,27.16,84.98,90
Simara,2001,322.3,322.3,2716.7000000000003,116,27.16,84.98,90
Simara,2002,128.5,128.5,1547.5,83,27.16,84.98,90
Simara,2003,94.5,94.5,1879.0,96,27.16,84.98,90
Simara,2004,125.5,125.5,1901.5,112,27.16,84.98,90
Simara,2005,95.8,95.8,2106.4,110,27.16,84.98,90
Simara,2006,183.7,183.7,2031.3999999999999,99,27.16,84.98,90
Simara,2007,61.5,61.5,1529.8,106,27.16,84.98,90
Simara,2008,260.3,260.3,1883.9,107,27.16,84.98,90
Simara,2009,301.7,301.7,2544.8,108,27.16,84.98,90
Simara,2010,133.6,133.6,1969.9,111,27.16,84.98,90
Simara,2011,110.9,110.9,1755.8,102,27.16,84.98,90
Simara,2012,130.9,130.9,1923.4,84,27.16,84.98,90
Simara,2013,168.0,168.0,2215.2,108,27.16,84.98,90
Simara,2014,116.1,116.1,1670.9,96,27.16,84.98,90
Simara,2015,113.2,113.2,1880.8,106,27.16,84.98,90
Simara,2016,154.7,154.7,2255.3,104,27.16,84.98,90
Simara,2017,163.0,163.0,2220.2,105,27.16,84.98,90
Simara,2018,114.2,114.2,2069.2,100,27.16,84.98,90
Simara,2019,214.4,214.4,1931.8,89,27.16,84.98,90
Simara,2020,92.2,92.2,2282.0,110,27.16,84.98,90
Simara,2021,110.0,110.0,1910.3,99,27.16,84.98,90
Simara,2022,131.3,131.3,2064.5,98,27.16,84.98,90
Simara,2023,100.8,100.8,1571.6,105,27.16,84.98,90
Surkhet,1990,79.7,79.7,1636.6,94,28.6,81.617,742
Surkhet,1991,90.3,90.3,1768.4,97,28.6,81.617,742
Surkhet,1992,119.9,119.9,1672.1,97,28.6,81.617,742
Surkhet,1993,67.9,67.9,1557.8,90,28.6,81.617,742
Surkhet,1994,106.5,106.5,1587.8,102,28.6,81.617,742
Surkhet,1995,101.9,101.9,1516.9,108,28.6,81.617,742
Surkhet,1996,70.1,70.1,1143.7,91,28.6,81.617,742
Surkhet,1997,61.4,61.4,1282.5,92,28.6,81.617,742
Surkhet,1998,334.7,334.7,1743.6,99,28.6,81.617,742
Surkhet,1999,61.8,61.8,1215.1,98,28.6,81.617,742
Surkhet,2000,101.0,101.0,1320.5,85,28.6,81.617,742
Surkhet,2001,64.5,64.5,1597.6,110,28.6,81.617,742
Surkhet,2002,126.0,126.0,1270.6,93,28.6,81.617,742
Surkhet,2003,61.4,61.4,1352.1,110,28.6,81.617,742
Surkhet,2004,61.8,61.8,1398.9,109,28.6,81.617,742
Surkhet,2005,199.6,199.6,1565.6,99,28.6,81.617,742
Surkhet,2006,87.1,87.1,1636.1,114,28.6,81.617,742
Surkhet,2007,75.8,75.8,1349.1,95,28.6,81.617,742
Surkhet,2008,129.9,129.9,1433.0,87,28.6,81.617,742
Surkhet,2009,117.2,117.2,1374.7,95,28.6,81.617,742
Surkhet,2010,93.2,93.2,1264.6,94,28.6,81.617,742
Surkhet,2011,76.7,76.7,1389.1,91,28.6,81.617,742
Surkhet,2012,100.5,100.5,1695.3,106,28.6,81.617,742
Surkhet,2013,65.3,65.3,1538.6,94,28.6,81.617,742
Surkhet,2014,89.0,89.0,1508.8,110,28.6,81.617,742
Surkhet,2015,92.6,92.6,1411.7,95,28.6,81.617,742
Surkhet,2016,73.0,73.0,1545.9,99,28.6,81.617,742
Surkhet,2017,118.9,118.9,1797.5,100,28.6,81.617,742
Surkhet,2018,45.6,45.6,975.8,85,28.6,81.617,742
Surkhet,2019,89.4,89.4,1296.0,97,28.6,81.617,742
Surkhet,2020,73.9,73.9,1460.3,109,28.6,81.617,742
Surkhet,2021,54.5,54.5,1242.3,97,28.6,81.617,742
Surkhet,2022,78.9,78.9,1022.7,88,28.6,81.617,742
Surkhet,2023,73.9,73.9,1546.3,98,28.6,81.617,742
Taplejung,1990,89.4,89.4,2350.3,110,27.35,87.667,1820
Taplejung,1991,91.0,91.0,2113.4,103,27.35,87.667,1820
Taplejung,1992,110.2,110.2,1882.4,88,27.35,87.667,1820
Taplejung,1993,161.2,161.2,2256.1,101,27.35,87.667,1820
Taplejung,1994,115.5,115.5,2348.6,105,27.35,87.667,1820
Taplejung,1995,92.2,92.2,1749.7,94,27.35,87.667,1820
Taplejung,1996,125.7,125.7,2024.3,105,27.35,87.667,1820
Taplejung,1997,146.1,146.1,1868.4,87,27.35,87.667,1820
Taplejung,1998,138.4,138.4,2091.9,105,27.35,87.667,1820
Taplejung,1999,149.1,149.1,2302.7,105,27.35,87.667,1820
Taplejung,2000,84.0,84.0,1590.2,98,27.35,87.667,1820
Taplejung,2001,85.0,85.0,1752.0,113,27.35,87.667,1820
Taplejung,2002,100.0,100.0,2090.6,108,27.35,87.667,1820
Taplejung,2003,175.5,175.5,1871.4,108,27.35,87.667,1820
Taplejung,2004,165.1,165.1,2435.8,112,27.35,87.667,1820
Taplejung,2005,159.7,159.7,2650.4,116,27.35,87.667,1820
Taplejung,2006,113.4,113.4,1792.6000000000001,97,27.35,87.667,1820
Taplejung,2007,82.7,82.7,1526.6,101,27.35,87.667,1820
Taplejung,2008,172.1,172.1,2424.6,117,27.35,87.667,1820
Taplejung,2009,153.2,153.2,2044.2,97,27.35,87.667,1820
Taplejung,2010,89.1,89.1,1796.2,104,27.35,87.667,1820
Taplejung,2011,316.1,316.1,2638.4,104,27.35,87.667,1820
Taplejung,2012,89.5,89.5,1984.9,99,27.35,87.667,1820
Taplejung,2013,74.8,74.8,1370.8,94,27.35,87.667,1820
Taplejung,2014,185.4,185.4,3076.6,106,27.35,87.667,1820
Taplejung,2015,96.8,96.8,2241.7,111,27.35,87.667,1820
Taplejung,2016,132.3,132.3,1897.8,98,27.35,87.667,1820
Taplejung,2017,84.0,78.8,2154.0,111,27.35,87.667,1820
Taplejung,2018,89.6,89.6,1541.1,81,27.35,87.667,1820
Taplejung,2019,80.3,80.3,1429.9,89,27.35,87.667,1820
Taplejung,2020,81.6,81.6,1665.8,97,27.35,87.667,1820
Taplejung,2021,115.4,115.4,2255.8,109,27.35,87.667,1820
Taplejung,2022,160.4,160.4,2088.2000000000003,93,27.35,87.667,1820
Taplejung,2023,69.0,69.0,1313.6,96,27.35,87.667,1820
